address,amount,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8
0x4846AEe6d7C9f176F3F329E01A014c2794E21B92,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x518e5A942Ed7Db4B45e9A491ce318373346dB240,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x5369A20D70ed012D0891e79F776272184a8b4fd5,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x57Ef012861c4937A76B5D6061bE800199A2b9100,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x5d3183cB8967e3C9b605dc35081E5778EE462328,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x614A61a3b7F2fd8750AcAAD63b2a0CFe8B8524F1,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x683a42E5B414Ae5cF79ece7e369cA5937fdcDC11,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x6Bb48ee6dC739Db470e29E3DCf0c3B34E94277dB,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x6D7455fB3C333697F74D2870cA43C12A6A18E60f,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x6F15CAC7aD6BBCc44529d403550F9E56Ad943a90,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x6f9BB7e454f5B3eb2310343f0E99269dC2BB8A1d,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x70f1033420e6a50dCB9894Cb76afa5443d749d4C,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x710b80571db3792fbf4DF7763Efa6548C25a1635,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x71ce21a0776DF966052cAc4FE98d18313dd3c214,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x76f387E6cAF280f4bb0bea75a1FF08c871Fc2D1a,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x780F3308B5eEEF72135F2843A90fe64cC0698fbb,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x7a92A015aE7403eE8d76B583a1d3E07a4114e480,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x81BE7f894F320dDEf07E27f7D1Bcc2ECF61F9f7c,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x8230453B88e26c9E7B432782930c24dBc9532BE2,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x840b924613F78b4d5f243552cA0C9557288D7614,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x87feC1516707aaf2d0815430809E66Cc94F07526,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x8888888888E9997E64793849389a8Faf5E8e547C,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x89C005336Ab30dE6ddFE03e8b51c85112AE5C811,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x8B2dAF0A57ccB9E0604c661C44Af7503c851c55f,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x8bb18f1eeB8d170F4edfE2C5D008986171B4e572,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x9030B78A312147DbA34359d1A8819336fD054230,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x919879875eA7270cD62F7A2995D4Dea69136f55a,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x96a86c28b6BC9E8f3D966dedED1095c272C7819e,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x98dc82470CD96449efF7a21837644e8a0b83f40e,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x9999999ccD21cf1517E907b535dC8507f79BcE09,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x9d8b1D8BE109851f48f89EE14b9E895441381F46,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xA1bD817e13ED6Bb524ED491cff76C83aFEC773Ac,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xa1C78ED146a8693A8cF3d29385BC54Cd3F145B4a,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xA2BF60058C0657C45FDd1741220b4A7F0DA91CA3,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xa3C1C91403F0026b9dd086882aDbC8Cdbc3b3cfB,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xA9bEA5C0C25E4D02d56CBFE9A7564c3CcF599617,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xAA7A9d80971E58641442774C373C94AaFee87d66,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xaE76c84C9262Cdb9abc0C2c8888e62Db8E22A0bF,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xB3319f5D18Bc0D84dD1b4825Dcde5d5f7266d407,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xB782735de1455dE6C1D5Bd8C31807a248Da5DB18,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xba2995617AD0A8e9Bf4686EEFCfDEe41B5F542C7,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xbBe3b4383f07c96EB59c9F950B48D2c9755644d6,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xC1f952B7d9Fa44e266fBef8A2e2E38c4c0Ea34A6,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xC3c2e1Cf099Bc6e1fA94ce358562BCbD5cc59FE5,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xC45230120F7f4642b27b6B48197E4F6934BBC349,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xcb59dB511a5922303cc867E2853D5caD72698dEB,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xD2FA59811af055e0e94D570EA7F9800c0E5C0428,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xD325E15A52B780698C45CA3BdB6c49444fe5B588,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xd5B3988eD0AB5ec375E51bB6fd10e205cEC16A2E,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xdA526311848E6019f494D41e25644DcD53c51da4,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xDA5b2cd0d0Bb26E79FB3210233dDABdB7de131C9,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xdD36Aa96D9BD4b49DA6E6734fF18Cc69F90F9435,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xe08c6C8ad7083482BB9D961249b4938E243F5BF5,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xE551388B683BB1E34e27E5a7b00eaBE79b080Bf7,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xe77b6871A8df37d2FdA790bC8d98d3c5CC974231,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xe8c904DC650E6fCB3Fe39CC82b40bD897C83D8fa,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xedC90F1Ac0e0eeDd7D700570a50A6F6Cf494A4AF,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xF2c0E63C26067D5Ab1C3157Bccc70f4f12115AF0,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xf3B1B6e83Be4d55695f1D30ac3D307D9D5CA98ff,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xffB3Bd8B5365758350008118961254c5eCD1F80A,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x008B1FFe244bF31896C833bFf4Ad9009E7A0f4Eb,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x02632569d858370906AC6116B0AE25059fB34A82,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x06B912Dc08176500e2a5B2221B9e54EA3Fa547f1,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x141cBD79074e965f3c501D8B63b8e55157ED0722,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x23bc95F84BD43C1FCc2bc285fDa4Cb12f9AEE2df,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
